"id","Size","color"
"high end cruises",0.547283918855943,"#690000"
"luxury hobbyists",0.442072236320054,"#690000"
"soon to retire",0.378526737377912,"#690000"
"comfortable retirement",0.355125228274757,"#690000"
"quality seekers",0.324001075181593,"#690000"
"luxury investments",0.323573891482136,"#690000"
"5* hotel luxury",0.32134721802246,"#690000"
"cruises interested",0.309822030073568,"#690000"
"luxury neighbourhoods",0.301341225573722,"#690000"
"country club members",0.28583178484672,"#690000"
"couture fashion",0.280112226418965,"#690000"
"wine tasting connoisseurs",0.277355737323931,"#690000"
"luxury shoppers",0.247397847743695,"#690000"
"luxury glasses wearers",0.234939366933239,"#690000"
"moynat fans",0.233950275593422,"#690000"
"philanthropists",0.23366202700268,"#690000"
"brunello cucinelli fans",0.233236919681366,"#690000"
"loro piana fans",0.231738288986314,"#690000"
"traditionalists",0.231454615997265,"#690000"
"superlux locations",0.224910015969236,"#690000"
"luxury car buyers",0.219626547579923,"#690000"
"hotel comfort",0.218709874318295,"#690000"
"bottega veneta fans",0.21812951320254,"#690000"
"health concerned- pharmaceutical drugs",0.215133286444799,"#690000"
"chopard fans",0.209614516080823,"#690000"
"wine crafting connoisseurs",0.208612466837197,"#690000"
"cartier fans",0.206128273157169,"#690000"
"opinion leaders",0.205375425523156,"#690000"
"birdwatching buffs",0.20492782187024,"#690000"
"bvlgari fans",0.204911935582405,"#690000"
"prada fans",0.193763379814616,"#690000"
"ralph lauren fans",0.19354014267121,"#690000"
"fair trade prioritisers",0.193236545040433,"#690000"
"healthy living- senior health",0.193132506234473,"#690000"
"armani fans",0.192969313951237,"#690000"
"giorgio armani fans",0.192969313951237,"#690000"
"puzzle hobbyists- crossword puzzles",0.190083031809566,"#690000"
"financial planners - estate planning",0.188806323174557,"#690000"
"health concerned- eye and vision conditions",0.187483987811645,"#690000"
"salvatore ferragamo fans",0.186400340653806,"#690000"
"luxury bath & body product prioritisers",0.183869681606445,"#690000"
"art collectors",0.183033190901776,"#690000"
"financial planners - retirement planning",0.181889992097643,"#690000"
"tom ford fans",0.18038711723489,"#690000"
"health concerned- surgery",0.179642081836166,"#690000"
"public radio supporters",0.178795700625611,"#690000"
"organizational gurus",0.177978774475941,"#690000"
"active historians",0.176231022961955,"#690000"
"executive car buyers",0.176088274374723,"#690000"
"opera fans",0.174689935543973,"#690000"
"station wagon owners",0.173610621872451,"#690000"
"retirees",0.1715247170104,"#690000"
"health concerned- medical tests",0.168842086252025,"#690000"
"home and garden show fans",0.168074941023706,"#690000"
"recently retired",0.167197174549263,"#690000"
"oscar de la renta fans",0.166415912416043,"#690000"
"financial planners - health insurance",0.164230733140463,"#690000"
"faith-based show fans",0.164069758361832,"#690000"
"paco rabanne fans",0.163739576717995,"#690000"
"topiary enthusiasts",0.163449155617822,"#690000"
"financially astute savers",0.161043615342983,"#690000"
"fendi fans",0.161027934790864,"#690000"
"health concerned- cancer",0.159391108324644,"#690000"
"garden living enthusiasts- landscaping",0.159223931173967,"#690000"
"rimowa fans",0.157782018943686,"#690000"
"leadership gurus",0.157409902648349,"#690000"
"christian dior fans",0.15622407397561,"#690000"
"dior fans",0.15622407397561,"#690000"
"oldies music fans",0.15566425692162,"#690000"
"europe interested",0.154006533772251,"#690000"
"tiffany & co. fans",0.152918005846267,"#690000"
"bridge players",0.152887283840831,"#690000"
"financial planners",0.1492481222063,"#690000"
"historical attraction fans",0.148994439336447,"#690000"
"gardening fans",0.147809394577707,"#690000"
"art aficionados- learning more",0.147714131086649,"#8B0000"
"financial planners- house market",0.146830372326606,"#8B0000"
"financial planners- financial regulation",0.146605505784748,"#8B0000"
"luxury fragrance product prioritisers",0.145750902538667,"#8B0000"
"health concerned- brain and nervous system disorders",0.145519598856848,"#8B0000"
"lanvin fans",0.144898365465353,"#8B0000"
"luxury skin care product prioritisers",0.144489647456393,"#8B0000"
"financial planners- interest rates",0.144126691653042,"#8B0000"
"missoni fans",0.142941365489522,"#8B0000"
"finance opinion leaders",0.142122539808728,"#8B0000"
"chanel fans",0.141782826139348,"#8B0000"
"pickleball players",0.141561776305541,"#8B0000"
"hermes (fashion) fans",0.140698600160657,"#8B0000"
"arts and culture show fans",0.139983746655327,"#8B0000"
"daily newspaper readers",0.139717516968561,"#8B0000"
"polar travel interested",0.139509962519092,"#8B0000"
"family history buffs",0.138444070045928,"#8B0000"
"book restoration artists",0.137918645420639,"#8B0000"
"financial planners - life insurance",0.137426181349871,"#8B0000"
"travel buffs",0.1351929610384,"#8B0000"
"word professionals",0.134443549510116,"#8B0000"
"charity fund raisers",0.134086104313504,"#8B0000"
"health concerned- heart and cardiovascular diseases",0.134021332474504,"#8B0000"
"monarchists",0.133991686153629,"#8B0000"
