"id","Size","color"
"art collectors","0.487","#690000"
"fine art fans","0.452","#690000"
"impulsive shoppers","0.441","#690000"
"museum visitors","0.424","#690000"
"art aficionados","0.424","#690000"
"fingerpainting fans","0.381","#690000"
"pottery fans","0.377","#690000"
"ceramic fans","0.377","#690000"
"coin collectors","0.373","#690000"
"art fans","0.368","#690000"
"art aficionados- learning more","0.368","#690000"
"art and theatre fans","0.368","#690000"
"book collectors","0.367","#690000"
"sculpting fans","0.363","#690000"
"china interested","0.362","#690000"
"painting fans","0.355","#690000"
"home design fans- feng shui","0.354","#690000"
"elegant calligraphers","0.353","#690000"
"aspiring artists","0.352","#690000"
"art and photography books readers","0.352","#690000"
"trade fair businessmen","0.348","#690000"
"sports memorabilia collectors","0.346","#690000"
"chinese cuisine fans","0.33","#505066"
"tai chi practitioners","0.328","#690000"
"professional artists","0.327","#505066"
"religious devotees- buddhism","0.321","#690000"
"diorama creators","0.32","#690000"
"archaeology buffs","0.319","#690000"
"basketball fans- attendees","0.318","#690000"
"history buffs","0.31","#690000"
"crystal collectors","0.309","#690000"
"miniature art fans","0.308","#690000"
"doll collectors","0.307","#690000"
"home design fans- tableware","0.307","#690000"
"bonsai tree growers","0.306","#690000"
"jewellery makers","0.306","#690000"
"curators and museum staff","0.306","#505066"
"sketching fans","0.303","#690000"
"furniture builders","0.301","#690000"
"asia interested","0.3","#690000"
"kung fu practitioners","0.298","#690000"
"hong kong interested","0.298","#690000"
"tapestry creators","0.298","#690000"
"drawing fans","0.29","#690000"
"cartier fans","0.29","#690000"
"mahjong players","0.289","#690000"
"luxury jewellery buyers- female","0.288","#690000"
"baseball fans","0.287","#690000"
"history book readers","0.285","#690000"
"home design fans- decorating","0.285","#690000"
"home design fans- interior design","0.285","#690000"
"home design fans","0.285","#690000"
"emilio pucci fans","0.285","#690000"
"isabel marant fans","0.283","#690000"
"luxury accessory wearers- female","0.283","#690000"
"glassblowing gurus","0.283","#690000"
"home design fans- paint","0.282","#690000"
"japanese cuisine fans","0.281","#505066"
"swarovski fans","0.278","#690000"
"wood carving artists","0.276","#690000"
"kitchen upgraders- kitchen furniture","0.275","#690000"
"tiffany & co. fans","0.274","#690000"
"home design fans- dining room furniture","0.274","#690000"
"louis vuitton fans","0.273","#690000"
"bridge players","0.273","#690000"
"mainstream jewellery buyers- female","0.273","#690000"
"rimowa fans","0.272","#690000"
"luxury formal dressers- female","0.27","#690000"
"event organizers","0.27","#505066"
"home design fans- living room furniture","0.27","#690000"
"net-a-porter fans","0.27","#690000"
"die-cast toy collectors","0.269","#690000"
"stamp collectors","0.269","#690000"
