"id","Size","color"
"rugby world cup fans",0.75,"#690000"
"rugby fans",0.70037909733723,"#690000"
"rugby league fans",0.55596298695964,"#690000"
"cricket world cup fans",0.535910458096296,"#690000"
"nations league fans",0.507160228972382,"#690000"
"cricket fans",0.502478006295981,"#690000"
"darts players",0.466558412396464,"#690000"
"sports radio fans",0.439703230510439,"#690000"
"premier league fans",0.424272507588855,"#690000"
"europa league fans",0.421553646669324,"#690000"
"champions league fans",0.418764328556251,"#690000"
"mls fans",0.416559011287281,"#690000"
"news junkies- sports stories",0.414367896252652,"#690000"
"sports memorabilia collectors",0.411123605963301,"#690000"
"plane enthusiasts",0.407260137074843,"#690000"
"experience seeker - sports events",0.401598889997179,"#690000"
"horse racing lovers",0.398717228180634,"#690000"
"cycling fans",0.391017411173114,"#690000"
"ipl fans",0.384494985694306,"#690000"
"motor sports enthusiasts",0.38320960418583,"#690000"
"snooker/pool/billiards players",0.379759406860502,"#690000"
"soccer fans- attendees",0.379524828553407,"#690000"
"fantasy sports players",0.379460149272561,"#690000"
"go players",0.377999881780142,"#690000"
"ncaa football lovers",0.377939672953012,"#690000"
"aussie rules loyalists",0.372087745864994,"#690000"
"auto racing enthusiasts",0.36836464541085,"#690000"
"afl fans",0.362797069898511,"#690000"
"british cuisine fans",0.358494107235026,"#690000"
"shaving",0.357690051003678,"#690000"
"new zealand interested",0.357070278015669,"#690000"
"la liga fans",0.355488899865529,"#690000"
"beer tasting aficionados",0.354162035430057,"#690000"
"boxing aficionados",0.352320375202348,"#690000"
"domestic holidayers",0.351396828356318,"#690000"
"ligue 1 fans",0.351250834729016,"#690000"
"ireland interested",0.348422426764798,"#690000"
"f1 fans",0.346598803886875,"#690000"
"kabaddi enthusiasts",0.344494656568996,"#690000"
"tv sports fans",0.340998772058005,"#690000"
"european championships (football) fans",0.337114856272884,"#690000"
"the uk interested",0.336921088049822,"#690000"
"motorcycle enthusiasts",0.335186975347603,"#690000"
"global affairs enthusiasts",0.334987697667286,"#690000"
"eredivise fans",0.331923321420823,"#690000"
"chess players",0.331367971375931,"#690000"
"monarchists",0.321081614146119,"#690000"
"curling enthusiasts",0.320297792062466,"#690000"
"budget formal dressers- male",0.317016000923861,"#690000"
"fifa world cup fans",0.316633216297725,"#690000"
"nfl fans",0.315626941370558,"#690000"
"sports car buyers",0.315239353343738,"#690000"
"cars and motoring show fans",0.314039364752046,"#690000"
"auto enthusiasts",0.313393713574687,"#690000"
"religious sceptics",0.313114037192853,"#690000"
"lacrosse fans",0.312852422552675,"#690000"
"audi fans",0.312790589536068,"#690000"
"online gamblers",0.312552390758142,"#690000"
"surfing devotees",0.31087552904056,"#690000"
"uk interested",0.309923024371794,"#690000"
"sports fans",0.309777713207952,"#690000"
"poker players",0.306842219430972,"#690000"
"train enthusiasts",0.30664898408671,"#690000"
"bundesliga fans",0.305864455822634,"#690000"
"english proficiency",0.30535566230972,"#690000"
"off-road owners",0.304784620891257,"#690000"
"mainstream formal dressers- male",0.30048634928401,"#690000"
"london interested",0.299856905067201,"#690000"
"ncaa baseball fans",0.297765705734162,"#690000"
"detailed model builders",0.297270109589003,"#690000"
"power 5 conferences fans",0.296899615058597,"#690000"
"radio-controlled toy collectors",0.295911171845798,"#690000"
"bicycle upgraders",0.294861774161339,"#690000"
"juggling enthusiasts",0.294311499041839,"#690000"
"australia interested",0.294194594986376,"#690000"
"safari interested",0.293732137127304,"#8B0000"
"extreme sports junkies",0.293505306274505,"#8B0000"
"nba fans",0.291867117687905,"#8B0000"
"paragliding daredevils",0.290968710097873,"#8B0000"
"nascar fans",0.290775821627692,"#8B0000"
"soccer fans",0.290498508678589,"#8B0000"
"seat fans",0.289892970139605,"#8B0000"
"basketball fans- attendees",0.289272762331946,"#8B0000"
"mitsubishi fans",0.28893836554347,"#8B0000"
"model racing enthusiasts",0.286857990133575,"#8B0000"
"experience seeker - stand-up comedy shows",0.286788015556633,"#8B0000"
"baseball fans",0.286679718839012,"#8B0000"
"water sports lovers",0.286239740061854,"#8B0000"
"renault fans",0.285922280459368,"#8B0000"
"aircraft modelers",0.2857165202008,"#8B0000"
"billiards players",0.285429347582404,"#8B0000"
"summer olympics fans",0.284665661838311,"#8B0000"
"mainstream dressers- male",0.284204768595024,"#8B0000"
"tech & science buffs",0.283128693056765,"#8B0000"
"homebrewing experts",0.283074768256954,"#8B0000"
"mainstream bag and wallet buyers- male",0.282430510193565,"#8B0000"
"fitness fans- bodybuilding",0.28176941931659,"#8B0000"
"american football fans",0.281588125455214,"#8B0000"
"freestyle football fans",0.280744103447786,"#8B0000"
"isuzu fans",0.279649334178104,"#8B0000"
"sailing enthusiasts",0.279629645440683,"#8B0000"
"on the pulse- automotive industry",0.278534510314777,"#8B0000"
"experience seeker - live music",0.277792852844377,"#8B0000"
"shooting sport enthusiasts",0.277645056599748,"#8B0000"
"cornhole players",0.277487195098865,"#8B0000"
"experience seeker - zoos",0.276891620316193,"#8B0000"
"sport show fans",0.27683323753312,"#8B0000"
"on the shopping list- beer",0.276759347261248,"#8B0000"
"experience seeker - casinos & gambling destinations",0.274820991566719,"#8B0000"
"sci-fi & fantasy show fans",0.274519234376601,"#8B0000"
"mainstream underwear buyers- male",0.274308697211151,"#8B0000"
"stamp collectors",0.274012966066475,"#8B0000"
"orienteering experts",0.273573854546016,"#8B0000"
"sports gamers",0.272391182165198,"#8B0000"
"squash players",0.271140678142213,"#8B0000"
"turkish super ligue fans",0.270786798897619,"#8B0000"
"table football players",0.270583544202275,"#8B0000"
"tether car racers",0.27053957653478,"#8B0000"
"film collectors",0.270153764846727,"#8B0000"
"on the shopping list- biscuit",0.269736915704378,"#8B0000"
"mountain biking fans",0.269407219874578,"#8B0000"
"on the shopping list- spirits",0.26926444503499,"#8B0000"
"south africa interested",0.26858754608138,"#8B0000"
"beach volleyball fans",0.26814618564089,"#8B0000"
"iceland interested",0.266147780407357,"#8B0000"
"risk takers",0.266045790071631,"#8B0000"
"pickup truck owners",0.265963244040181,"#8B0000"
"truck & suv enthusiasts",0.264717414814298,"#8B0000"
"serie a fans",0.264243675906575,"#8B0000"
"sports players- equipment",0.263569014701014,"#8B0000"
"water polo devotees",0.262959646553145,"#8B0000"
"under armour fans",0.262179615020998,"#8B0000"
"field hockey fans",0.261650895970117,"#8B0000"
"e-sports gamers",0.261409410333315,"#8B0000"
"table tennis enthusiasts",0.26133218223493,"#8B0000"
"wrestling fans- wwe",0.260941548200295,"#8B0000"
"fencing buffs",0.260510432609033,"#8B0000"
"mainstream accessory wearers- male",0.260507120915985,"#8B0000"
"mountain climbing buffs",0.260506132822682,"#8B0000"
"wargaming players",0.260461957267669,"#8B0000"
"pac 12 fans",0.260321068150276,"#8B0000"
"home tech enthusiasts- televisions",0.260217346348822,"#8B0000"
"kenya interested",0.257196548885968,"#8B0000"
"powerboat racing fans",0.256095590267599,"#8B0000"
"independent spirits",0.255882183985936,"#8B0000"
"mainstream sportswear buyers- male",0.255783880409965,"#8B0000"
"sports science enthusiasts",0.254884681693239,"#8B0000"
"keen bbqers",0.254393959803138,"#8B0000"
"satire readers",0.254241060503832,"#8B0000"
"city breakers",0.254074951323357,"#8B0000"
"big 10 fans",0.253566255106298,"#A50F15"
"performance & luxury vehicle enthusiasts",0.253188249082415,"#A50F15"
"bmw fans",0.253140059965677,"#A50F15"
"budget bag and wallet buyers- male",0.253107883105239,"#A50F15"
"hunting aficionados",0.252891571834135,"#A50F15"
"active day trippers",0.252591246098445,"#A50F15"
"sports players",0.252443193062589,"#A50F15"
"ice hockey fans",0.251934441628904,"#A50F15"
"on the shopping list- distilled beverages",0.251817805542276,"#A50F15"
"experience seeker - pubs and bars",0.25159425888609,"#A50F15"
"brussels interested",0.25126836874165,"#A50F15"
"handball buffs",0.251109712823879,"#A50F15"
"modern blacksmiths",0.251075875324939,"#A50F15"
"canoeing enthusiasts",0.250541479081108,"#A50F15"
"land rover fans",0.25026900308834,"#A50F15"
"history buffs",0.250098342529607,"#A50F15"
"camper van fans",0.249735271343397,"#A50F15"
"horse owners",0.249509874331225,"#A50F15"
"live event enthusiasts",0.249006616076991,"#A50F15"
"ford fans",0.24890744767446,"#A50F15"
"euro 2020 fans",0.247251571531162,"#A50F15"
"south america interested",0.24713583775725,"#A50F15"
"budget dressers- male",0.247113644278899,"#A50F15"
"mainstream casual dressers- male",0.247017098760509,"#A50F15"
"college sports fans",0.246620377619704,"#A50F15"
"combat sports admirers",0.246491651165391,"#A50F15"
"debaters",0.246369167252677,"#A50F15"
"rodeo devotees",0.245591275554637,"#A50F15"
"culturally curious",0.245196227559753,"#A50F15"
"aerospace enthusiasts",0.244444867151746,"#A50F15"
"nippon baseball fans",0.244226260193211,"#A50F15"
"on the shopping list- bbq products",0.243936797709444,"#A50F15"
"fitness fans- powerlifting",0.242710866873761,"#A50F15"
"kung fu practitioners",0.242016684320142,"#A50F15"
"historical attraction fans",0.240111700512143,"#A50F15"
"no fuss holiday fans",0.239961297458136,"#A50F15"
"equestrian enthusiasts",0.23971211726784,"#A50F15"
"whale watching enthusiasts",0.239498808424334,"#A50F15"
"canada interested",0.239173582027576,"#A50F15"
"jaguar fans",0.238934789948045,"#A50F15"
"lego lovers",0.238494468120863,"#A50F15"
"british show fans",0.23816987487336,"#A50F15"
"comic book collectors",0.237655386826379,"#A50F15"
"science and nature show fans",0.237603383539113,"#A50F15"
"orienteering experts",0.237097340606547,"#A50F15"
"denmark interested",0.236427614676794,"#A50F15"
"base jumping daredevils",0.23622810962097,"#A50F15"
"budget business dressers- male",0.235969438635766,"#A50F15"
"budget underwear buyers- male",0.235937681598084,"#A50F15"
"heavy metal music fans",0.235936187259201,"#A50F15"
"political thinkers",0.235932216442311,"#A50F15"
"iceboat racing fans",0.23561612031781,"#A50F15"
"rock music fans",0.235512447881896,"#A50F15"
"gardening fans- guerrilla gardening",0.234901401172138,"#A50F15"
"golf enthusiasts",0.234894497567656,"#A50F15"
"buenos aires interested",0.234288057774744,"#A50F15"
"travel buffs",0.233948004565387,"#A50F15"
"luxury formal dressers- male",0.2336510153036,"#A50F15"
"adventure travellers",0.232676896443457,"#A50F15"
"home tech enthusiasts- home theatre systems",0.23238392045431,"#A50F15"
"music show fans",0.232143071554213,"#A50F15"
"budget accessory wearers- male",0.232096081976209,"#A50F15"
"large pet owners",0.231492274636328,"#A50F15"
"subaru fans",0.231365221622591,"#A50F15"
